1851	180
1852	173
1853	305
1854	127
1855	304
1856	410
1857	215
1858	90
1859	80
1860	180
1861	315
1862	337
1863	90
1864	80
1865	360
1866	104
1867	420
1868	412
1869	132
1870	178
1871	420
1872	126
1873	90
1874	88
1875	340
1876	412
1877	420
1878	72
1879	140
1880	125
1881	420
1882	81
1883	337
1884	127
1885	167
1886	198
1887	74
1888	420
1889	327
1890	81
1891	126
1892	252
1893	420
1894	81
1895	282
1896	143
1897	180
1898	140
1899	183
1900	330
1901	180
1902	360
1903	92
1904	176
1905	134
1906	85
1907	139
1908	235
1909	181
1910	81
1911	110
1912	161
1913	118
1914	127
1915	183
1916	330
1917	400
1918	161
1919	150
1920	151
1921	125
1922	260
1923	330
1924	280
1925	89
1926	382
1927	126
1928	172
1929	390
1930	58
1931	175
1932	148
1933	148
1934	110
1935	90
1936	148
1937	161
1938	70
1939	61
1940	420
1941	371
1942	420
1943	84
1944	64
1945	109
1946	215
1947	420
1948	201
1949	62
1950	113
1951	149
1952	120
1953	153
1954	272
1955	156
1956	396
1957	169
1958	196
1959	90
1960	241
1961	53
1962	160
1963	355
1964	150
1965	153
1966	374
1967	183
1968	214
1969	265
1970	370
1971	157
1972	180
1973	99
1974	94
1975	74
1976	164
1977	190
1978	193
1979	325
1980	260
1981	175
1982	255
1983	117
1984	187
1985	355
1986	337
1987	405
1988	149
1989	52
1990	67
1991	122
1992	66
1993	70
1994	206
1995	68
1996	262
1997	128
